Id,ImdbId,Name
7dfeecdb-ced6-43c4-aaa1-d72aaec45495,nm0446314,David Patrick Kelly
8811fe3a-d9cd-4cb0-8740-01634df2e07e,nm0497046,Cinqué Lee
b50c20a2-a00e-4438-bc13-8b40bf57ce60,nm0193554,Vondie Curtis-Hall
b5baf314-26fb-4f37-ab4f-a4727afd571a,nm0005148,Delroy Lindo
bed216e5-08ac-4baa-a010-8ce4ec1db38c,nm0244417,N. Jeremi Duru
ca8527de-40f1-49c5-97a1-2597886e17f2,nm0721426,Tiasha Reyes
d2692f1d-fdc1-4c23-ba10-ee3a8859bf57,nm0721302,Ivelka Reyes
d6b05445-da49-4d3a-afcc-9d4395fa36ff,nm0497578,Joie Lee
d6f0abe4-f299-40c8-9904-614b2e9c5458,nm0559157,Norman Matlock
d7af476e-755b-42b7-8fd4-f801569b784c,nm0913544,Tse-Mach Washington
f199e633-5cea-47f3-9aef-c42b3dbaed4f,nm0461479,Chris Knowings
f1c75636-2064-485d-b6a1-2f1d21459e4d,nm0625653,Patriece Nelson
f6001cbf-1c6d-4e56-a283-4ab303009b15,nm0005569,Alfre Woodard
fed8e0a6-d317-48a3-8a35-3ae96f1f96ab,nm0453091,Jon Kilik
01c0d7c3-841a-41d4-bb9d-c83e9315e46f,nm0783333,Arlene Sellers
0c9dbdac-9b60-40bf-ac90-0e563dbc8609,nm0296064,Roger Fritz
133f0df0-0f91-4be7-a22c-e4c8efa31953,nm0446011,Walter Kelley
1913ad6b-04f1-4ad5-b7e0-64e58e4ee68b,nm0333528,Lew Grade
1b329c9d-89bb-4e24-9518-f7e18bd61b4c,nm0105973,Arthur Brauss
1c3e8454-64de-4e20-a5ce-4796da306ab7,nm0257269,Heinz Engelmann
1eb33df7-7e80-4915-a083-7abbcbf5b434,nm0258493,Julius J. Epstein
22216010-1607-4a10-ae6f-776099021afd,nm0001703,Maximilian Schell
2a1da870-3cc7-4dda-9c38-44ef14d78528,nm0000919,Senta Berger
35fc5740-adfc-4cc1-8dc1-e31bbbb5c0ca,nm0323203,Vadim Glowna
451e6f57-9fa4-4651-968a-0127abc4f211,nm0237897,Burkhard Driest
4a204555-9c03-405c-ab81-f35aef6ee747,nm0771365,Dieter Schidor
6239c887-a9fe-4e4c-ba5b-c819125f6fa6,nm1355571,Lothar H. Krischer
81007b94-ff81-4870-9281-531b1e7627b6,nm0637457,Michael Nowka
89963a9b-414b-4b0a-9150-07ed67de1c38,nm0935131,Alex Winitsky
91df7911-ad29-4bd0-bddf-311e095199c6,nm0367322,Wolf C. Hartwig
ad6f4c3f-0062-40d5-8c88-cdbe1227663d,nm0001603,Sam Peckinpah
