Id,Title,Imdb_Id
f175bb25-5c93-4d5c-9450-36e9b6e17404,Bad Boys II,tt0172156
e253eaaf-27cd-4816-b39a-5706c8c9eaf6,Bad Education,tt8206668
5a7139ba-8653-4c8b-819b-affa21f9ab96,Bad Influence,tt0099091
3fc928be-1110-48a6-8cfb-9e08c2ffd4b6,Bad Santa,tt0307987
6318108b-1ffd-4f24-bf9c-e150d06ee7d6,Bad Taste,tt0092610
b7b52554-8695-4dad-8cae-348219a7bd1f,Ball of Fire,tt0033373
cefc7405-3632-4ccb-9e45-bb562e52bb0e,Bambi,tt0034492
7b28b396-d949-4cda-979f-af0c86ec442f,Barb & Star Go to Vista Del Mar,tt3797512
c8ca2ee3-a43c-4cee-98f6-a287c6408650,Barbie,tt1517268
2def8426-22d7-4d34-b2a0-29949a4fa326,Barcelona,tt0109219
0a193372-e355-484e-9203-534d5323d0ed,Barking Dogs Never Bite,tt0269743
a7d2ef7c-a86e-492c-bf61-a8a95d29833b,Barry Lyndon,tt0072684
8ca2eef7-7932-4118-b0b4-4bd6a3e5c7cb,Barton Fink,tt0101410
8ac4029d-dcb7-45db-8ec8-5ed32baf1ce8,Basic Instinct,tt0103772
698c2813-8efb-46fe-af80-ed2f3cb5a1fb,Bat*21,tt0094712
e0f5abaf-244b-4510-9b1a-5ddc38a9a358,Batman,tt0059968
5332ade5-7031-4ea9-8499-d17e2bc8e248,Batman & Robin,tt0118688
ba329e87-90d4-4c9f-a363-8a401b2684e6,Batman: The Movie,tt0060153
2f189b33-b86e-41c3-b7b5-0d79dad7c2b4,Batman (1989),tt0096895
e8e3b27e-b2bb-4cac-b139-50f6a5a27854,Batman Begins,tt0372784
65f0a09a-16b7-447e-afec-927a7bca969e,Batman Forever,tt0112462
3f7eb4eb-145a-4620-9ca8-c785dfda2cc5,Batman Returns,tt0103776
cfe2826e-55ee-4955-9639-2986b7f45fc1,Batman v Superman: Dawn of Justice,tt2975590
ebdbdba7-9d6e-4b6d-b4fd-4d2bda85fa28,Batman: Mask of the Phantasm,tt0106364
a179d1a4-2b03-4310-be8d-d44c83fa792c,Battle for the Planet of the Apes,tt0069768
c7d2eba2-68f0-4142-b61c-c26674974cdb,Baxter,tt0094713
bd823dee-f629-42e0-aee9-38e7829d0f25,Beaches,tt0094715
e7c1f4d3-8dcc-4bc8-bd3e-ed19e0e7324a,Beasts of the Southern Wild,tt2125435
7b34b6e6-57f5-4a68-be72-f1aa5385a534,Beautiful Girls,tt0115639
83002430-fff3-4c1d-b113-1138df5d4efe,Beauty and the Beast,tt2771200
045b9b8d-c544-4930-9e45-0086f0a6eb6b,Becoming Jane,tt0416508
c996af21-0c54-480b-a340-5c36a5e849a5,Bed and Board,tt0065651
233832e4-9471-42cc-a212-16e8ad74b43f,Beetlejuice,tt0094721
5841654a-f4d6-4f5a-a36c-e18940b5c347,Before Midnight,tt2209418
1b0fb23d-6f19-4295-b957-ab6b07d6fd20,Before Sunrise,tt0112471
e9189c6c-c9bd-4433-916a-4e06304c5af2,Before the Devil Knows You're Dead,tt0292963
22e8412f-2ecb-4bed-94ad-d31c0eba7c6c,Being John Malkovich,tt0120601
518e8ef5-013a-434e-a286-7c7e1a0052ee,Being the Ricardos,tt4995540
c7f4b940-9826-4ad0-a9e7-337edcec037a,Bells are Ringing,tt0053645
f87cf5e1-aea0-49d3-b117-e16014461df4,Below,tt0276816
0d279b37-bf22-4bf2-b62e-bcda2574866d,Beneath the Planet of the Apes,tt0065462
2d2f07a6-3d71-49a5-87c3-872975a476c1,Best in Show,tt0218839
fe6203a1-444f-43f4-898e-19af8e21b9fc,Better Days,tt9586294
2e6428e3-df45-4bde-a862-0d59017e4e12,Beverly Hills Cop,tt0086960
b7e353d7-8c4a-487a-910e-bd260a36cb96,Big Boys,tt24486184
2079d502-f90c-41d8-b5ed-589935d3ffa9,Big Business,tt0094739
3c755691-f905-4b94-9670-f788787ed892,Big Hero 6,tt2245084
1c8e7f94-cda3-4db6-a23f-6e3bf8bdd383,Big Trouble in Little China,tt0090728
599f8d94-bf0a-4940-b3c8-4e1f38e57b2e,Bill & Ted's Bogus Journey,tt0101452
3ef5e73f-f6e6-4b20-b5c3-1d59fdb47716,Bill & Ted's Excellent Adventure,tt0096928
0d3cc2e4-d67c-4d8e-b592-3dd038e28883,Billy Elliot,tt0249462
4ae9a3b3-4613-4d3b-b065-5ea4bda56de1,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,tt7713068
d7cd62db-03fd-40fe-95b0-376dc32d2b59,Bit,tt8425034
defead9c-59cd-4d98-bf40-f82c4d5fa3a1,Black Bear,tt9601220
623e423a-5bc4-4d04-9f76-502cae6f6df1,Black Christmas,tt0071222
c6318b8e-8114-4135-8b0c-ff4b1dcb12a8,Black Dynamite,tt1190536
3eceb80a-0473-4428-91b1-a901dff87615,Black Hawk Down,tt0265086
95bfe928-459d-4cb3-854f-978007589b05,Black Legion,tt0027367
cb9dc092-47b0-49ff-bbad-5849d856f53c,Black Orpheus,tt0053146
e7f99d95-c2eb-4d23-bc9e-6a4984b3ff0f,Black Panther,tt1825683
70d6e578-9001-4f88-9072-dbe0bb99018c,Black Panther: Wakanda Forever,tt9114286
275f4f90-fb59-479f-9665-5514d3166361,Black Roses,tt0094752
951e2e2e-ffde-4e77-8c47-d405c098cdf9,Black Sabbath,tt0057603
9607ab52-2b5a-4105-a58d-1597baa8dfbb,Black Sheep,tt0115697
f8ce0ed8-ffd5-4a87-a11e-f058dfabe22c,Black Swan,tt0947798
2a4ae7ac-633b-45b5-b3f8-3eb8b3b57c17,Black Widow,tt3480822
e8dc9c71-a675-471d-96f0-24a474fdc2a9,BlackBerry,tt21867434
7e48a2ab-c310-435a-acb5-7262c3f1e6b8,Blackboard Jungle,tt0047885
e475b006-0d39-48a9-bbf8-e3450d42b8ff,Blackhat,tt2717822
6fcb56c9-483c-433e-8db4-2ddb53f5249d,BlacKkKlansman,tt7349662
fd276006-5659-4c80-9028-85b3bc053eee,Blade,tt0120611
bde2d3ed-635b-4897-b16e-d3d904806062,Blade Runner,tt0083658
af9243cc-d3f5-4d72-a1b6-65dfad2ab251,Blade Runner 2049,tt1856101
4d40b6a2-bf44-4e79-b1de-3e0550248c69,Blaze,tt6443294
087c565e-b199-4293-956e-c91c7cc1946f,Blazing Saddles,tt0071230
80c5e479-92d1-4e14-9a85-755b22d19c5c,Blind Beast,tt0140384
bffe01a9-0faf-4a77-8aaf-6451aa0e7d38,Blind Date,tt0092666
6cb35e98-1070-4a95-9dbb-b032303bb3e1,Blood and Black Lace,tt19355610
d780de4f-f4fa-4c39-96d5-c453292c463c,Blood Simple,tt0086979
42a40a30-8635-4355-994b-f6414cc79278,Bloodsport,tt0092675
a7d7b36c-8892-4940-92ec-cdd443a45742,Bloody Moon,tt0083156
6c1eec43-dab5-416d-b7c9-bd05642da8b0,Blow the Man Down,tt8299768
c75ec59b-e5ae-45f8-952e-184a697b067d,Blue Velvet,tt0090756
a9906ea6-f6a5-4e91-82a3-a9b36455f4a5,Boarding Gate,tt0493402
c37cfb02-08e5-4251-991a-8377fa3d997d,Bob & Carol & Ted & Alice,tt0064100
ada6e4ba-caa5-4aaf-bddd-f62b50cafac3,Body Bags,tt0106449
07e59a05-3710-4983-bb54-b36deba18234,Body Double,tt0086984
3f91f685-c876-498f-8f01-19d2d72fdb8d,Body Heat,tt0082089
d69393dd-7456-4d3a-9971-3fad4d8e577c,Body Parts,tt0101492
47a4056c-61b6-4a28-8b1a-88fd426bc581,Boiler Room,tt0181984
8bf079ab-5924-4de2-9f61-231e6bab44ad,Bone Tomahawk,tt2494362
059a31aa-503e-4909-81e9-aa3f6d721245,Bonjour Tristesse,tt0051429
6be0bf3b-6e4a-48e4-b47a-1a3965fd6ef1,Boogie Nights,tt0118749
6dc231ac-1a31-4129-86bd-326f14e42e97,Booksmart,tt1489887
114f30b5-8775-4a11-a52e-f17f69b9ab9d,Boomerang,tt0103859
f5a0e42c-42f8-44c6-ae8b-a8d229790371,Borat Subsequent Moviefilm,tt13143964
94ce919b-4e61-4a24-96f9-c97c74d8835c,Born on the 4th of July,tt0096969
d595db44-d498-4799-ae40-1642fd31578e,Both Sides of the Blade,tt13535920
c7f71a63-0a48-4cb5-832d-d65f0b87b3f4,Bottle Rocket,tt0115734
10aac1e4-257b-4460-bdbd-10abdc56aa45,Bottoms,tt17527468
7922cd21-1965-4246-af08-cf817cdb0065,Bound,tt0115736
51ffc992-8e71-447c-b0ec-49fb1c3fec56,Bowfinger,tt0131325
8b6d63c0-4c8a-4da0-86b8-9bbd167c8ded,Boxcar Bertha,tt0068309
88db799b-8659-4855-b8d8-ea5f70b505bc,Boxing Helena,tt0106471
6a6246cf-a016-42cf-be4f-f2bed9f55038,Boys Don't Cry,tt0171804
6d32eb84-0caf-4abb-8576-f09a8671effb,Boyz n the Hood,tt0101507
5079e97b-b674-4534-95cd-b10e8f54db77,Braindead,tt0103873
89774779-4f9c-4f59-b2b0-faa7da624450,Brainstorm,tt0085271
6e0fe745-bc37-4e51-b9df-a2b2f897c2d3,Bram Stoker’s Dracula,tt0103874
