"id","readable_id","title","draft_type","episode_type","total_picks","total_drafters","total_drafter_teams","total_hosts","episode_number","draft_status","created_at_utc","updated_at_utc","is_patreon_only","non_canonical"
"0ec35dc6-3ec6-4285-a4e3-914afe3b656d",14,'90s Sports mini-Mega,1,0,13,4,0,2,"295",3,2025-03-28 07:16:16.596 -0400,,false,false
"0f480291-42cd-4de7-8477-7d8dd6e713cd",15,A24,0,0,7,2,0,0,"22",3,2025-03-28 07:16:16.545 -0400,,false,false
"10aa256c-6a5f-4270-b825-660d2807d30a",16,European Vacation,0,0,7,2,0,2,"64",3,2025-03-28 07:16:16.554 -0400,,false,false
"10eeea71-24ef-4542-a47d-8bf190c3e939",17,Sword & Sorcery,0,0,7,2,0,2,"53",3,2025-03-28 07:16:16.552 -0400,,false,false
"117cdc3b-394d-4860-9c66-96ef8f087005",18,Castaways,0,0,7,2,0,2,"292",3,2025-03-28 07:16:16.596 -0400,,false,false
"11be3620-da93-41ac-bf36-1ac52855a154",19,Mistaken Identity,0,0,7,2,0,2,"83",3,2025-03-28 07:16:16.558 -0400,,false,false
"138c61c1-b50e-4541-b232-0f3690b9f864",20,Obsession Thrillers,0,0,7,2,0,2,"219",3,2025-03-28 07:16:16.582 -0400,,false,false
"144ae507-96d4-424b-a098-8bf38741e7ba",21,Animals Attack!,0,0,7,2,0,2,"87",3,2025-03-28 07:16:16.558 -0400,,false,false
"162887bc-9c5d-4e2b-9aca-8ed2e58ab670",22,Tom Ripley mini-Super Draft,4,1,5,2,0,0,"12",3,2025-03-28 07:16:16.601 -0400,,true,false
"16f220f1-c7ff-4628-997e-2e31e31d79a7",23,Amnesia,0,0,7,2,0,0,"19",3,2025-03-28 07:16:16.544 -0400,,false,false
"18b37052-4535-4649-8fcd-4eacf8603385",24,Sports,0,0,7,2,0,2,"9",3,2025-03-28 07:16:16.543 -0400,,false,false
"19965126-7d2f-424c-90d1-c315f5080c99",25,Star Wars Super Draft,3,0,11,3,0,2,"59",3,2025-03-28 07:16:16.553 -0400,,false,false
"1a069714-7e86-49bc-8eee-2460a510fd1b",26,July 4th Weekend,0,0,7,2,0,2,"85",3,2025-03-28 07:16:16.558 -0400,,false,false
"1ae73670-c26c-48e3-bcee-ed881a66cd9c",27,Almodóvar,0,0,7,2,0,2,"44",3,2025-03-28 07:16:16.550 -0400,,false,false
"1bde2149-1f79-4e9d-b90c-150789c1a2c8",28,Classic Christmas,0,0,7,2,0,2,"8",3,2025-03-28 07:16:16.542 -0400,,false,false
"1c07172a-d0fc-46b7-a599-8d1289d02128",29,Gena Rowlands,0,2,7,2,0,0,"11",3,2025-03-28 07:16:16.613 -0400,,true,false
"1c87ea9e-6023-4c78-8ca8-e1348dc51818",30,"2018 Mega Draft",2,0,17,3,0,0,"14",3,2025-03-28 07:16:16.543 -0400,,false,false
"1ccd634c-66e7-41ee-a07c-920a48b17423",31,Max von Sydow,0,0,7,2,0,1,"69",3,2025-03-28 07:16:16.555 -0400,,false,false
"1ddb44ea-7598-4d19-a6ca-0605192cd76f",32,Country Music,0,0,7,2,0,2,"245",3,2025-03-28 07:16:16.587 -0400,,false,false
"1e598182-5797-48f3-a7fd-6262fd0d5a44",33,Godzilla mini-Mega,1,0,13,2,1,2,"201",3,2025-03-28 07:16:16.580 -0400,,false,false
"22052206-bc08-4dc7-aba7-a10bf5b5f7ce",34,Razzie Worst Picture Winners,0,0,7,2,0,2,"161",3,2025-03-28 07:16:16.573 -0400,,false,false
"23dc7540-0b19-42f0-9471-479332a585a5",35,British Royal Family,0,0,7,2,0,2,"163",3,2025-03-28 07:16:16.573 -0400,,false,false
"249b6e36-93ac-4544-a09c-09e467efa20a",36,Original Movie Musicals - American,0,0,7,2,0,2,"43",3,2025-03-28 07:16:16.549 -0400,,false,false
"253b856d-459e-44da-afeb-a1b03ee53a43",37,TV Continuations,0,0,7,2,0,2,"137",3,2025-03-28 07:16:16.568 -0400,,false,false
"25952d95-6ddf-421d-af78-9e68cf93e922",38,"2012",0,0,7,2,0,2,"230",3,2025-03-28 07:16:16.584 -0400,,false,false
"26b1018c-10cc-444a-996c-d7a50fceb2f8",39,Oscar Winning Queer Films,0,0,7,2,0,2,"158",3,2025-03-28 07:16:16.572 -0400,,false,false
"28bc7cc2-5e42-43ab-b1c6-288e686f7cd1",40,Herbie mini-Super Draft,4,1,5,2,0,0,"19",3,2025-03-28 07:16:16.602 -0400,,true,false
"28ead34f-1422-4b3b-a35f-39b4d213987a",41,Ralph Bakshi Super Draft,3,0,10,2,0,2,"257",3,2025-03-28 07:16:16.589 -0400,,false,false
"29139dcb-b4be-4319-b626-e03584d3537d",42,Halloween Movies,0,0,7,2,0,2,"49",3,2025-03-28 07:16:16.551 -0400,,false,false
"297da054-5c5a-450d-a077-433c6cd0c118",43,Criterion World Cinema Project,0,0,7,2,0,2,"263",3,2025-03-28 07:16:16.590 -0400,,false,false
"2a7c0d23-0c89-4f5b-9c41-f77ab1702250",44,Insidious mini-Super Draft w/Billy Ray Brewton,4,1,5,2,0,0,"37",3,2025-03-28 07:16:16.606 -0400,,true,false
"2bba3076-b4e3-4249-b610-45e6b94d7de6",45,Vincente Minnelli,0,0,7,2,0,2,"312",3,2025-03-28 07:16:16.613 -0400,,false,false
"2d2d935b-6173-430e-9fbd-2a4e8645b823",46,Dinosaurs,0,0,7,2,0,2,"149",3,2025-03-28 07:16:16.570 -0400,,false,false
"2d9e2836-39fb-47ed-9ab6-d40a08c4c1a8",47,Punksploitation,0,0,7,2,0,2,"28",3,2025-03-28 07:16:16.546 -0400,,false,false
"2f0b45bf-e1f4-45cb-944e-fccee2d0dcdb",48,Legacy Sequels,0,0,7,2,0,2,"140",3,2025-03-28 07:16:16.568 -0400,,false,false
"302b2148-cc0f-4e7e-8f3b-b2ef762dab74",49,Audrey Hepburn,0,0,7,2,0,2,"3",3,2025-03-28 07:16:16.541 -0400,,false,false
